lead_time,adr,total_nights,total_guests,adr_per_guest,total_of_special_requests,booking_changes,previous_cancellations,days_in_waiting_list,required_car_parking_spaces,is_repeated_guest,room_mismatch,hotel,market_segment,deposit_type,customer_type,meal,arrival_season
342,0.0,0,2,0.0,0,3,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
737,0.0,0,2,0.0,0,4,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
7,75.0,1,1,75.0,0,0,0,0,0,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
13,75.0,1,1,75.0,0,0,0,0,0,0,0,Resort Hotel,Corporate,No Deposit,Transient,BB,Summer
14,98.0,2,2,49.0,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,107.0,2,2,53.5,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
9,103.0,2,2,51.5,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,FB,Summer
85,82.0,3,2,41.0,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
75,105.5,3,2,52.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
23,123.0,4,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
35,145.0,4,2,72.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
68,97.0,4,2,48.5,3,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
18,154.77,4,3,51.59,1,1,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
37,94.71,4,2,47.355,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
68,97.0,4,2,48.5,3,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
37,97.5,4,2,48.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
12,88.2,1,2,44.1,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,107.42,1,2,53.71,0,0,0,0,0,0,1,Resort Hotel,Corporate,No Deposit,Transient,BB,Summer
7,153.0,4,2,76.5,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
37,97.29,5,1,97.29,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
72,84.67,6,2,42.335,1,1,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
72,99.67,6,2,49.835,1,1,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
127,94.95,7,2,47.475,1,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
78,63.6,7,2,31.8,0,0,0,0,1,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
